order_id,order_date,region,channel,category,customer_segment,quantity,unit_price,discount,revenue,cost,profit,returned,delivery_days
ORD-00033,2025-07-30,Sud,Partner,Moda,Privati,3,30.11,0,90.33,51.78,38.55,0,5
ORD-00034,2025-06-06,Centro,Partner,Moda,Professionisti,1,54.12,0,54.12,31.44,22.68,0,3
ORD-00035,2025-11-25,Sud,Store,Sport,Privati,1,200.26,0,200.26,120.84,79.42,0,1
ORD-00036,2025-08-11,Nord,Store,Casa,PMI,1,145.93,0,145.93,83.21,62.72,0,2
ORD-00037,2025-01-01,Sud,Store,Sport,PMI,2,57.51,0.05,109.27,64.98,44.29,0,1
ORD-00038,2025-03-05,Centro,Online,Moda,Privati,1,51.11,0,51.11,26.91,24.2,0,5
ORD-00039,2025-07-14,Nord,Partner,Moda,Privati,2,18.05,0,36.1,19.05,17.05,0,4
ORD-00040,2025-08-15,Nord,Online,Sport,PMI,3,53.0,0,159.0,97.29,61.71,0,3
ORD-00041,2025-11-14,Sud,Store,Casa,Professionisti,1,56.5,0,56.5,31.33,25.17,0,1
ORD-00042,2025-08-22,Centro,Store,Casa,Professionisti,1,54.16,0.15,46.04,27.76,18.28,0,1
ORD-00043,2025-02-24,Sud,Online,Moda,Professionisti,1,80.43,0,80.43,43.84,36.59,0,2
ORD-00044,2025-11-01,Nord,Store,Casa,Professionisti,3,94.1,0.1,254.07,148.53,105.54,0,1
ORD-00045,2025-09-01,Sud,Store,Sport,Privati,2,104.96,0,209.92,128.29,81.63,0,1
ORD-00046,2025-06-13,Centro,Online,Beauty,Privati,1,32.73,0.05,31.09,15.59,15.5,0,5
ORD-00047,2025-08-01,Nord,Partner,Elettronica,Professionisti,4,71.93,0.1,258.95,175.99,82.96,1,4
ORD-00048,2025-08-03,Sud,Store,Sport,PMI,1,70.03,0.05,66.53,39.34,27.19,0,3
ORD-00049,2025-12-14,Sud,Store,Moda,PMI,5,91.83,0.05,436.19,241.89,194.3,0,2
ORD-00050,2025-08-25,Centro,Online,Elettronica,Privati,1,377.27,0,377.27,268.8,108.47,0,4
ORD-00051,2025-05-10,Sud,Online,Moda,Privati,4,47.42,0,189.68,107.71,81.97,0,4
ORD-00052,2025-04-13,Centro,Store,Moda,Studenti,1,124.15,0.05,117.94,66.29,51.65,0,1
ORD-00053,2025-03-27,Sud,Partner,Moda,Professionisti,1,52.84,0.1,47.56,24.48,23.08,0,3
ORD-00054,2025-07-23,Nord,Online,Beauty,Professionisti,1,69.87,0,69.87,37.05,32.82,0,1
ORD-00055,2025-03-03,Centro,Store,Moda,Studenti,2,25.72,0.15,43.72,23.48,20.24,0,1
ORD-00056,2025-07-05,Sud,Store,Moda,Privati,2,126.13,0,252.26,140.32,111.94,0,1
ORD-00057,2025-09-05,Nord,Store,Sport,Privati,1,179.21,0,179.21,118.29,60.92,0,1
ORD-00058,2025-07-14,Centro,Online,Casa,Studenti,1,56.17,0,56.17,34.68,21.49,0,4
ORD-00059,2025-05-22,Centro,Online,Sport,Privati,1,128.26,0,128.26,82.68,45.58,0,2
ORD-00060,2025-02-17,Centro,Online,Casa,Professionisti,1,97.49,0,97.49,56.84,40.65,0,4
ORD-00061,2025-06-19,Centro,Online,Casa,Privati,2,70.59,0.15,120.0,70.97,49.03,0,4
ORD-00062,2025-09-05,Sud,Store,Casa,Studenti,5,136.57,0,682.85,387.96,294.89,0,2
ORD-00063,2025-01-08,Centro,Online,Moda,Privati,1,123.74,0.15,105.18,60.37,44.81,0,5
ORD-00064,2025-08-29,Isole,Online,Sport,Privati,3,43.82,0,131.46,81.68,49.78,0,3
ORD-00065,2025-11-19,Sud,Online,Moda,PMI,1,54.04,0.1,48.64,27.56,21.08,0,4
ORD-00066,2025-09-25,Centro,Partner,Casa,Studenti,1,99.61,0,99.61,59.46,40.15,0,4
ORD-00067,2025-04-17,Centro,Online,Moda,Privati,2,35.53,0.05,67.51,36.77,30.74,0,4
ORD-00068,2025-12-28,Centro,Partner,Casa,Privati,1,154.31,0.1,138.88,83.45,55.43,0,5
ORD-00069,2025-08-06,Centro,Online,Elettronica,Privati,1,86.17,0,86.17,60.2,25.97,0,5
ORD-00070,2025-08-28,Isole,Store,Moda,Studenti,1,27.01,0,27.01,15.54,11.47,0,1
ORD-00071,2025-11-06,Isole,Online,Casa,Professionisti,2,180.67,0.15,307.14,188.26,118.88,0,4
ORD-00072,2025-09-23,Centro,Partner,Moda,Studenti,2,73.07,0,146.14,79.79,66.35,0,4
ORD-00073,2025-06-14,Centro,Partner,Moda,Professionisti,1,136.25,0.1,122.62,63.22,59.4,0,5
ORD-00074,2025-07-26,Centro,Store,Beauty,Professionisti,1,16.5,0.1,14.85,7.4,7.45,0,2
ORD-00075,2025-11-17,Centro,Online,Sport,Privati,1,201.0,0.05,190.95,114.34,76.61,0,3
ORD-00076,2025-03-23,Nord,Online,Casa,Privati,3,35.88,0,107.64,64.57,43.07,0,3
ORD-00077,2025-05-30,Sud,Online,Sport,PMI,1,127.55,0.05,121.17,73.23,47.94,0,4
ORD-00078,2025-02-05,Nord,Store,Casa,PMI,2,134.88,0,269.76,163.41,106.35,0,1
ORD-00079,2025-10-24,Centro,Online,Beauty,Studenti,1,57.81,0.1,52.03,25.99,26.04,0,6
ORD-00080,2025-05-03,Sud,Online,Sport,Privati,2,155.5,0.05,295.45,183.21,112.24,0,2
ORD-00081,2025-11-30,Centro,Online,Beauty,Studenti,2,99.34,0.05,188.75,90.88,97.87,0,4
ORD-00082,2025-12-02,Sud,Online,Beauty,Privati,2,53.09,0,106.18,56.31,49.87,0,4
ORD-00083,2025-10-01,Sud,Online,Casa,Professionisti,3,25.03,0,75.09,42.7,32.39,0,4
ORD-00084,2025-02-16,Nord,Online,Sport,Professionisti,1,139.51,0,139.51,82.69,56.82,0,5
ORD-00085,2025-05-31,Centro,Online,Casa,Privati,2,49.73,0,99.46,55.39,44.07,0,3
ORD-00086,2025-10-26,Centro,Online,Elettronica,Privati,1,350.64,0,350.64,247.52,103.12,0,3
ORD-00087,2025-08-15,Centro,Partner,Beauty,PMI,2,49.92,0,99.84,48.72,51.12,0,4
ORD-00088,2025-10-20,Sud,Online,Casa,Privati,3,75.41,0,226.23,134.31,91.92,0,4
ORD-00089,2025-01-26,Sud,Store,Beauty,PMI,2,31.1,0,62.2,30.43,31.77,0,1
ORD-00090,2025-12-04,Centro,Online,Moda,Studenti,1,125.46,0,125.46,69.47,55.99,0,6
ORD-00091,2025-02-16,Nord,Online,Beauty,Privati,3,84.75,0,254.25,129.54,124.71,0,4
ORD-00092,2025-09-04,Sud,Online,Beauty,Professionisti,1,18.25,0,18.25,9.69,8.56,0,3
ORD-00093,2025-07-23,Nord,Store,Beauty,Professionisti,1,56.54,0.05,53.71,26.8,26.91,0,1
ORD-00094,2025-11-23,Centro,Online,Beauty,Privati,3,69.14,0.1,186.68,91.36,95.32,1,5
ORD-00095,2025-08-26,Nord,Online,Beauty,Privati,4,37.26,0.05,141.59,68.32,73.27,0,3
ORD-00096,2025-07-09,Isole,Store,Moda,Privati,2,35.31,0.05,67.09,37.5,29.59,0,1
ORD-00097,2025-11-12,Centro,Partner,Casa,Privati,1,180.63,0,180.63,100.88,79.75,0,2
ORD-00098,2025-07-03,Isole,Online,Elettronica,PMI,3,97.54,0,292.62,205.63,86.99,0,3
ORD-00099,2025-01-11,Isole,Online,Elettronica,Professionisti,1,359.59,0.1,323.63,214.99,108.64,0,4
ORD-00100,2025-03-17,Centro,Store,Moda,PMI,5,78.5,0,392.5,204.38,188.12,0,1
ORD-00101,2025-03-09,Centro,Store,Elettronica,Privati,1,83.6,0.15,71.06,48.55,22.51,0,2
ORD-00102,2025-07-05,Nord,Online,Sport,PMI,1,154.23,0.15,131.1,82.73,48.37,0,4
ORD-00103,2025-01-16,Nord,Online,Elettronica,Professionisti,1,387.94,0,387.94,281.45,106.49,0,4
ORD-00104,2025-11-16,Centro,Store,Moda,PMI,2,81.2,0.1,146.16,79.39,66.77,0,2
ORD-00105,2025-02-28,Sud,Store,Beauty,Professionisti,1,49.48,0,49.48,24.83,24.65,0,1
ORD-00106,2025-06-10,Nord,Store,Sport,Privati,4,39.68,0,158.72,94.68,64.04,0,2
ORD-00107,2025-07-10,Nord,Store,Moda,Studenti,1,31.69,0,31.69,18.2,13.49,0,1
ORD-00108,2025-01-27,Nord,Store,Beauty,Studenti,1,66.51,0,66.51,35.26,31.25,0,2
ORD-00109,2025-10-12,Nord,Store,Casa,Professionisti,3,156.44,0.1,422.39,252.28,170.11,0,4
ORD-00110,2025-12-22,Sud,Online,Casa,Privati,1,24.61,0,24.61,14.61,10.0,0,4
ORD-00111,2025-03-14,Centro,Partner,Moda,Studenti,1,68.81,0,68.81,37.09,31.72,0,5
ORD-00112,2025-02-13,Sud,Online,Beauty,Privati,1,48.78,0.05,46.34,23.47,22.87,0,2
ORD-00113,2025-05-20,Nord,Online,Elettronica,Privati,2,303.12,0.1,545.62,384.65,160.97,1,3
ORD-00114,2025-01-04,Sud,Partner,Elettronica,Professionisti,1,107.59,0.05,102.21,72.78,29.43,0,6
ORD-00115,2025-07-14,Nord,Online,Sport,Professionisti,1,90.52,0.15,76.94,45.58,31.36,1,6
ORD-00116,2025-10-22,Sud,Online,Sport,Privati,1,184.42,0,184.42,120.53,63.89,0,3
ORD-00117,2025-12-20,Sud,Online,Beauty,Privati,2,65.48,0.05,124.41,66.13,58.28,0,4
ORD-00118,2025-02-09,Nord,Online,Sport,PMI,1,145.02,0.15,123.27,80.7,42.57,0,6
ORD-00119,2025-03-16,Centro,Online,Casa,Professionisti,1,153.18,0.15,130.2,76.59,53.61,0,4
ORD-00120,2025-10-17,Centro,Partner,Moda,PMI,1,67.25,0.05,63.89,34.76,29.13,0,3
ORD-00121,2025-05-21,Centro,Online,Sport,Studenti,1,94.43,0,94.43,56.2,38.23,0,5
ORD-00122,2025-09-17,Isole,Store,Casa,Professionisti,1,147.27,0.1,132.54,79.54,53.0,0,1
ORD-00123,2025-09-01,Nord,Partner,Sport,Professionisti,3,187.09,0,561.27,353.41,207.86,0,5
ORD-00124,2025-08-13,Nord,Store,Sport,PMI,1,152.79,0.15,129.87,82.75,47.12,0,2
ORD-00125,2025-11-28,Nord,Online,Casa,Privati,1,164.28,0.1,147.85,91.2,56.65,0,3
ORD-00126,2025-06-29,Sud,Store,Casa,Privati,2,35.05,0.1,63.09,36.55,26.54,0,1
ORD-00127,2025-03-07,Sud,Store,Moda,Professionisti,2,90.35,0.05,171.66,94.19,77.47,1,1
ORD-00128,2025-06-24,Centro,Online,Beauty,Privati,1,90.3,0,90.3,45.87,44.43,0,6
ORD-00129,2025-09-27,Sud,Online,Elettronica,Privati,1,122.6,0.15,104.21,74.42,29.79,0,4
ORD-00130,2025-07-30,Isole,Store,Casa,Studenti,2,129.73,0,259.46,153.41,106.05,0,2
ORD-00131,2025-08-29,Sud,Online,Beauty,Studenti,1,75.86,0.05,72.07,36.59,35.48,0,4
ORD-00132,2025-11-06,Sud,Online,Elettronica,Professionisti,2,119.67,0.1,215.41,155.36,60.05,0,4
ORD-00133,2025-03-24,Centro,Partner,Casa,Privati,4,51.09,0.05,194.14,119.92,74.22,0,4
ORD-00134,2025-07-11,Nord,Partner,Casa,Privati,4,137.48,0.15,467.43,269.37,198.06,0,5
ORD-00135,2025-01-20,Sud,Store,Casa,Privati,2,82.8,0,165.6,102.56,63.04,1,1
ORD-00136,2025-11-08,Centro,Online,Sport,Privati,1,111.24,0.1,100.12,62.66,37.46,0,4
ORD-00137,2025-09-13,Nord,Online,Sport,Privati,1,95.82,0.1,86.24,53.25,32.99,0,4
ORD-00138,2025-09-26,Nord,Online,Beauty,Studenti,5,57.99,0.05,275.45,146.48,128.97,1,5
ORD-00139,2025-07-18,Centro,Online,Beauty,Professionisti,1,72.83,0.15,61.91,29.82,32.09,0,4
ORD-00140,2025-06-30,Centro,Store,Sport,Professionisti,1,153.71,0.15,130.65,78.87,51.78,0,1
ORD-00141,2025-08-23,Sud,Online,Elettronica,PMI,1,175.08,0.05,166.33,121.99,44.34,0,4
ORD-00142,2025-04-08,Centro,Partner,Casa,Professionisti,1,131.91,0.05,125.31,77.45,47.86,0,6
ORD-00143,2025-07-17,Sud,Online,Casa,Privati,3,57.34,0,172.02,104.21,67.81,0,2
ORD-00144,2025-10-07,Centro,Online,Casa,Privati,1,120.47,0,120.47,72.64,47.83,0,3
ORD-00145,2025-01-22,Nord,Partner,Moda,Privati,2,106.65,0,213.3,110.55,102.75,0,3
ORD-00146,2025-12-14,Sud,Online,Elettronica,Professionisti,1,129.58,0,129.58,92.63,36.95,0,5
ORD-00147,2025-07-16,Centro,Online,Beauty,Privati,1,48.85,0,48.85,25.03,23.82,0,3
ORD-00148,2025-05-08,Centro,Online,Beauty,Studenti,4,23.95,0,95.8,49.89,45.91,0,5
ORD-00149,2025-11-10,Nord,Partner,Casa,Privati,3,98.28,0.15,250.61,146.5,104.11,0,4
ORD-00150,2025-06-13,Nord,Store,Moda,Privati,1,39.2,0.15,33.32,19.26,14.06,0,1
ORD-00151,2025-07-05,Centro,Online,Sport,Privati,3,29.34,0.1,79.22,50.31,28.91,0,4
ORD-00152,2025-02-14,Sud,Online,Elettronica,Studenti,1,210.35,0.1,189.31,123.53,65.78,0,4
ORD-00153,2025-11-25,Nord,Online,Elettronica,Privati,3,307.64,0.1,830.63,549.95,280.68,0,2
ORD-00154,2025-01-29,Centro,Online,Moda,Privati,4,43.25,0.1,155.7,89.66,66.04,0,5
ORD-00155,2025-05-09,Centro,Partner,Elettronica,Studenti,2,107.98,0.15,183.57,121.32,62.25,0,6
ORD-00156,2025-11-06,Centro,Partner,Casa,Professionisti,1,180.3,0.1,162.27,92.65,69.62,0,6
ORD-00157,2025-10-20,Nord,Store,Casa,Studenti,1,153.93,0.05,146.23,83.27,62.96,0,1
ORD-00158,2025-12-19,Nord,Online,Elettronica,Privati,2,207.64,0.15,352.99,238.0,114.99,0,4
ORD-00159,2025-06-26,Nord,Online,Beauty,Studenti,1,55.79,0,55.79,28.13,27.66,0,6
ORD-00160,2025-11-12,Isole,Partner,Casa,Professionisti,4,142.73,0,570.92,347.43,223.49,0,5
ORD-00161,2025-09-21,Nord,Partner,Sport,Privati,1,100.44,0,100.44,60.9,39.54,0,6
ORD-00162,2025-12-01,Centro,Online,Moda,Privati,1,56.19,0,56.19,31.84,24.35,0,4
ORD-00163,2025-07-25,Nord,Store,Elettronica,Privati,1,224.88,0.1,202.39,135.75,66.64,0,1
ORD-00164,2025-02-19,Centro,Store,Casa,PMI,2,47.87,0.1,86.17,50.09,36.08,1,1
ORD-00165,2025-01-20,Nord,Online,Elettronica,Privati,2,248.0,0,496.0,361.25,134.75,0,3
ORD-00166,2025-06-03,Nord,Online,Sport,Studenti,2,113.69,0,227.38,140.68,86.7,0,5
ORD-00167,2025-08-02,Sud,Store,Sport,Professionisti,1,103.31,0.15,87.81,57.26,30.55,0,1
ORD-00168,2025-10-26,Sud,Store,Sport,Professionisti,1,160.57,0,160.57,94.98,65.59,0,1
ORD-00169,2025-02-26,Nord,Online,Elettronica,Privati,1,243.15,0.1,218.84,159.18,59.66,0,4
ORD-00170,2025-03-12,Isole,Store,Sport,Studenti,1,182.85,0.05,173.71,115.09,58.62,0,1
ORD-00171,2025-07-01,Sud,Partner,Moda,Professionisti,1,72.23,0,72.23,38.47,33.76,0,8
ORD-00172,2025-05-28,Nord,Store,Moda,Studenti,2,134.93,0.15,229.38,122.08,107.3,0,1
ORD-00173,2025-12-13,Nord,Partner,Sport,Privati,2,58.02,0,116.04,71.04,45.0,0,4
ORD-00174,2025-05-12,Sud,Online,Moda,Privati,2,53.26,0,106.52,59.25,47.27,0,5
ORD-00175,2025-05-05,Centro,Partner,Elettronica,Privati,1,200.48,0.05,190.46,124.73,65.73,0,6
ORD-00176,2025-03-22,Sud,Partner,Casa,Studenti,1,154.95,0,154.95,88.71,66.24,0,5
ORD-00177,2025-02-15,Sud,Online,Moda,Professionisti,1,121.2,0.05,115.14,66.2,48.94,0,7
ORD-00178,2025-07-23,Sud,Online,Moda,Professionisti,1,22.2,0,22.2,12.27,9.93,0,2
ORD-00179,2025-06-21,Nord,Partner,Casa,Studenti,4,153.06,0.05,581.63,332.44,249.19,0,4
ORD-00180,2025-11-28,Sud,Online,Casa,Professionisti,2,148.7,0,297.4,177.57,119.83,0,5
ORD-00181,2025-07-27,Centro,Online,Moda,Professionisti,1,33.75,0,33.75,19.53,14.22,1,3
ORD-00182,2025-05-17,Sud,Online,Beauty,Privati,2,76.45,0,152.9,79.26,73.64,0,5
ORD-00183,2025-03-23,Isole,Online,Casa,Professionisti,1,36.44,0,36.44,21.09,15.35,0,5
ORD-00184,2025-08-21,Nord,Store,Moda,Studenti,1,78.2,0.15,66.47,37.95,28.52,0,1
ORD-00185,2025-12-15,Centro,Partner,Moda,Privati,2,31.56,0.1,56.81,29.59,27.22,0,5
ORD-00186,2025-10-02,Nord,Online,Elettronica,Privati,1,272.02,0,272.02,197.34,74.68,0,3
ORD-00187,2025-01-29,Nord,Online,Sport,Privati,1,158.14,0.15,134.42,79.41,55.01,0,5
ORD-00188,2025-02-07,Centro,Online,Elettronica,PMI,4,89.5,0.05,340.1,220.66,119.44,0,4
ORD-00189,2025-03-11,Sud,Partner,Moda,Privati,5,60.84,0.05,288.99,155.87,133.12,0,4
ORD-00190,2025-12-01,Isole,Online,Beauty,Privati,1,110.02,0,110.02,57.67,52.35,0,3
ORD-00191,2025-08-26,Nord,Store,Moda,Professionisti,1,56.77,0,56.77,29.87,26.9,0,1
ORD-00192,2025-12-05,Isole,Store,Casa,Privati,1,40.27,0,40.27,23.54,16.73,0,1
ORD-00193,2025-01-25,Nord,Online,Casa,Studenti,2,128.65,0,257.3,151.55,105.75,0,5
ORD-00194,2025-06-13,Sud,Store,Sport,Privati,3,206.4,0.1,557.28,338.17,219.11,0,1
ORD-00195,2025-02-01,Sud,Store,Sport,Privati,2,116.72,0,233.44,155.79,77.65,0,1
ORD-00196,2025-06-13,Centro,Online,Moda,Privati,2,49.49,0,98.98,52.87,46.11,0,2
ORD-00197,2025-08-26,Isole,Store,Beauty,Studenti,1,32.16,0,32.16,15.97,16.19,0,1
ORD-00198,2025-10-02,Centro,Online,Moda,Professionisti,2,115.85,0,231.7,131.95,99.75,0,4
ORD-00199,2025-12-10,Sud,Online,Sport,Privati,4,32.49,0,129.96,86.62,43.34,0,5
ORD-00200,2025-05-05,Nord,Store,Moda,Privati,1,54.67,0.05,51.94,28.59,23.35,0,1
ORD-00201,2025-05-14,Nord,Partner,Casa,Professionisti,2,139.29,0,278.58,172.7,105.88,0,3
ORD-00202,2025-04-24,Nord,Online,Moda,Studenti,2,51.06,0,102.12,54.75,47.37,0,5
ORD-00203,2025-05-06,Sud,Store,Sport,Privati,3,202.92,0.15,517.45,335.62,181.83,0,1
ORD-00204,2025-03-13,Isole,Online,Moda,Studenti,2,24.58,0,49.16,28.11,21.05,1,3
ORD-00205,2025-12-09,Centro,Online,Elettronica,Studenti,1,139.97,0,139.97,96.68,43.29,0,3
ORD-00206,2025-11-12,Centro,Store,Beauty,Studenti,1,15.8,0.15,13.43,6.62,6.81,0,1
ORD-00207,2025-01-09,Nord,Store,Sport,PMI,1,176.48,0.1,158.83,95.46,63.37,0,1
ORD-00208,2025-05-17,Isole,Online,Moda,Privati,1,105.7,0,105.7,59.3,46.4,0,3
ORD-00209,2025-12-01,Centro,Store,Beauty,Privati,1,60.78,0.15,51.66,24.57,27.09,0,1
ORD-00210,2025-06-19,Centro,Partner,Sport,Studenti,1,65.87,0.15,55.99,36.98,19.01,0,5
ORD-00211,2025-01-24,Centro,Store,Beauty,Studenti,2,26.89,0,53.78,25.6,28.18,0,2
ORD-00212,2025-07-23,Nord,Online,Beauty,Studenti,3,68.19,0.1,184.11,91.42,92.69,0,5
ORD-00213,2025-03-13,Centro,Store,Moda,Professionisti,1,28.94,0,28.94,16.55,12.39,0,2
ORD-00214,2025-07-23,Nord,Online,Beauty,Professionisti,1,30.94,0.1,27.85,14.93,12.92,0,1
ORD-00215,2025-12-15,Sud,Online,Sport,Privati,1,43.81,0,43.81,26.35,17.46,0,3
ORD-00216,2025-06-12,Isole,Online,Casa,Privati,2,37.74,0,75.48,42.66,32.82,0,2
ORD-00217,2025-10-12,Centro,Online,Sport,Studenti,2,154.43,0.05,293.42,173.12,120.3,0,4
ORD-00218,2025-10-14,Nord,Partner,Beauty,Privati,1,23.52,0,23.52,11.58,11.94,0,3
ORD-00219,2025-03-27,Nord,Online,Sport,Privati,1,65.69,0.15,55.84,35.12,20.72,0,3
ORD-00220,2025-01-04,Nord,Online,Beauty,Professionisti,1,39.78,0.15,33.81,18.2,15.61,0,4
ORD-00221,2025-06-14,Nord,Store,Moda,Privati,1,59.12,0.15,50.25,28.23,22.02,0,1
ORD-00222,2025-07-12,Nord,Store,Casa,PMI,1,159.62,0,159.62,96.16,63.46,0,1
ORD-00223,2025-08-25,Sud,Online,Beauty,Professionisti,1,82.37,0.05,78.25,40.59,37.66,0,4
ORD-00224,2025-03-20,Centro,Store,Moda,PMI,1,62.89,0.1,56.6,32.71,23.89,0,2
ORD-00225,2025-08-03,Nord,Store,Sport,PMI,2,130.3,0,260.6,155.79,104.81,0,1
ORD-00226,2025-11-10,Sud,Partner,Elettronica,Privati,2,481.24,0.05,914.36,599.24,315.12,0,4
ORD-00227,2025-04-24,Nord,Online,Sport,Studenti,1,89.54,0.15,76.11,48.44,27.67,0,4
ORD-00228,2025-02-23,Centro,Partner,Casa,Professionisti,2,68.77,0,137.54,80.51,57.03,0,5
ORD-00229,2025-09-05,Sud,Online,Casa,Privati,1,26.26,0.15,22.32,12.49,9.83,0,3
ORD-00230,2025-03-26,Nord,Store,Beauty,Studenti,1,47.39,0.05,45.02,22.06,22.96,0,1
ORD-00231,2025-04-05,Nord,Store,Elettronica,Professionisti,3,224.6,0.05,640.11,435.51,204.6,0,2
ORD-00232,2025-02-02,Nord,Store,Sport,Privati,1,43.8,0.15,37.23,24.52,12.71,0,3
ORD-00233,2025-11-24,Nord,Online,Casa,Privati,1,99.24,0,99.24,60.77,38.47,0,3
ORD-00234,2025-02-13,Centro,Online,Moda,Privati,1,33.83,0.05,32.14,17.43,14.71,0,5
ORD-00235,2025-07-16,Nord,Online,Sport,PMI,4,53.58,0,214.32,134.69,79.63,0,3
ORD-00236,2025-01-28,Nord,Partner,Beauty,Privati,1,58.61,0.15,49.82,25.27,24.55,0,6
ORD-00237,2025-08-01,Centro,Online,Moda,Studenti,3,42.7,0,128.1,68.19,59.91,0,4
ORD-00238,2025-09-11,Centro,Online,Sport,Professionisti,3,85.53,0,256.59,166.85,89.74,0,5
ORD-00239,2025-04-22,Sud,Online,Beauty,Professionisti,1,94.94,0.05,90.19,44.38,45.81,0,6
ORD-00240,2025-03-02,Sud,Online,Moda,Studenti,1,97.6,0.15,82.96,45.05,37.91,0,5
ORD-00241,2025-04-16,Nord,Store,Moda,Studenti,2,36.86,0.15,62.66,33.43,29.23,0,2
ORD-00242,2025-12-14,Sud,Online,Moda,Privati,1,57.89,0.15,49.21,25.68,23.53,0,3
ORD-00243,2025-05-08,Centro,Online,Elettronica,Professionisti,1,127.02,0.15,107.97,72.31,35.66,0,2
ORD-00244,2025-02-17,Sud,Store,Casa,Professionisti,1,88.33,0.1,79.5,43.82,35.68,0,2
ORD-00245,2025-02-17,Sud,Online,Moda,Privati,1,77.86,0,77.86,45.23,32.63,0,3
ORD-00246,2025-05-26,Nord,Store,Casa,Studenti,1,127.11,0,127.11,70.48,56.63,0,1
ORD-00247,2025-08-24,Centro,Partner,Elettronica,Privati,5,216.87,0.15,921.7,669.52,252.18,0,4
ORD-00248,2025-05-21,Centro,Online,Elettronica,Professionisti,2,91.72,0.15,155.92,104.94,50.98,0,6
ORD-00249,2025-04-30,Centro,Online,Sport,Privati,1,122.96,0.1,110.66,71.24,39.42,1,3
ORD-00250,2025-08-05,Centro,Online,Moda,Privati,3,29.56,0,88.68,50.98,37.7,0,2
